RUN_ID,CANONICAL_ID,CANONICAL_NAME,FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,MATCHED_ALIASES,SOURCE_CLUSTER,ROLE_SIGNALS,DISCOVERY_CLASS,DIRECT_PATH_COMPONENT,DIRECT_FILENAME,TEXT_IDENTIFIES_F2A,INCOMPLETE_BRANCH_SIGNAL,DOWNSTREAM_REFERENCE_LOCATION,COPY_OR_PROVENANCE_LOCATION,F2A_EVIDENCE_SCORE
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\10_FINAL_MANIFEST\F2_A_SUMMARY.txt,F2_A_SUMMARY.txt,.txt,1715,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,RESULT,PRIMARY_CANDIDATE,True,True,True,False,False,False,168
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\F2_A_COMPLETE.marker,F2_A_COMPLETE.marker,.marker,152,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,AUTHORITY,PRIMARY_CANDIDATE,True,True,False,False,False,False,160
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\10_FINAL_MANIFEST\F2_A_OUTPUT_SHA256_MANIFEST.csv,F2_A_OUTPUT_SHA256_MANIFEST.csv,.csv,5399,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,RESULT,PRIMARY_CANDIDATE,True,True,False,False,False,False,158
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\10_FINAL_MANIFEST\F2_A_SUMMARY.json,F2_A_SUMMARY.json,.json,6403,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,RESULT,PRIMARY_CANDIDATE,True,True,False,False,False,False,158
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip,F2_A_WILDCHAT_RARITY_RUNNER.zip,.zip,16705,f2_a,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip,OTHER,PRIMARY_CANDIDATE,True,True,False,False,False,False,150
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,.sha256,108,f2_a,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,OTHER,PRIMARY_CANDIDATE,True,True,False,False,False,False,150
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\F2_A_OPENED.marker,F2_A_OPENED.marker,.marker,103,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,OTHER,PRIMARY_CANDIDATE,True,True,False,False,False,False,150
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\F2_A_WILDCHAT_RARITY_RUNNER_ORIGINAL.zip,F2_A_WILDCHAT_RARITY_RUNNER_ORIGINAL.zip,.zip,16705,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,OTHER,PRIMARY_CANDIDATE,True,True,False,False,False,False,150
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,RUN_F2_A_WILDCHAT_RARITY.py,.py,33909,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,RUNNER,PRIMARY_CANDIDATE,False,True,True,True,False,False,90
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\RUN_F2_A_WILDCHAT_RARITY.py,RUN_F2_A_WILDCHAT_RARITY.py,.py,33909,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,RUNNER,PRIMARY_CANDIDATE,False,True,True,True,False,False,90
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\RUN_F2_A_WILDCHAT_RARITY.ps1,RUN_F2_A_WILDCHAT_RARITY.ps1,.ps1,2280,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,RUNNER,PRIMARY_CANDIDATE,False,True,True,False,False,False,75
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\__pycache__\RUN_F2_A_WILDCHAT_RARITY.cpython-313.pyc,RUN_F2_A_WILDCHAT_RARITY.cpython-313.pyc,.pyc,53095,f2_a,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,OTHER,RUNTIME_OR_LIBRARY,False,True,False,False,False,False,40
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PRECONSOLIDATION\RSOS_EXPERIMENTS_WF2_A_PROSPECTIVE_FROZEN_SIGNATURE\02_FROZEN_SIGNATURE\DETECTOR_PACKAGE\reference\FROZEN_FEATURE_SETS.json,FROZEN_FEATURE_SETS.json,.json,3952,f2_a,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,AUTHORITY|RESULT,PRIMARY_CANDIDATE,False,False,False,True,True,False,-7
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PRECONSOLIDATION\RSOS_EXPERIMENTS_WF2_A_PROSPECTIVE_FROZEN_SIGNATURE\02_FROZEN_SIGNATURE\DETECTOR_PACKAGE\RUN_F2_B.ps1,RUN_F2_B.ps1,.ps1,733,f2_a,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,RUNNER,PRIMARY_CANDIDATE,False,False,False,True,True,False,-10
