CANONICAL_SEQUENCE_NO,EXPERIMENT_ID,CANONICAL_ID,CANONICAL_NAME,FOLDER,SOURCE_FILE_COUNT,PRIMARY_OR_UNRESOLVED_COUNT,COPY_OR_PROVENANCE_COUNT,REFERENCED_SIZE_BYTES,MATERIALIZATION_STATUS,HYDRATION_RISK,NEXT_RULE
1,EXP-001,CAN-V5-FOREST,V5 - Forest Forensic Full,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\001_EXP-001__V5_Forest_Forensic_Full,34,34,0,71603994,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
2,EXP-002,CAN-V6-STRUCTURAL,V6 - Structural Fingerprint Vector,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\002_EXP-002__V6_Structural_Fingerprint_Vector,64,64,0,39212996,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
4,EXP-003,CAN-API-FP-V1,API Fingerprint Experiment V1,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1,30,30,0,31579652,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
5,EXP-004,CAN-API-FP-V2,API Fingerprint Experiment V2,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\005_EXP-004__API_Fingerprint_Experiment_V2,7,7,0,18627278,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
6,EXP-005,CAN-V7-CROSSMODEL,V7 - Cross-Model Deployment Localization,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\006_EXP-005__V7_Cross_Model_Deployment_Localization,64,64,0,35728174,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
7,EXP-006,CAN-V8-CONTROL,V8 - Compositional Structural Control,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\007_EXP-006__V8_Compositional_Structural_Control,64,64,0,46235120,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
8,EXP-007,CAN-V9-TRANSPORT,V9 - Representational Transport Operator,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\008_EXP-007__V9_Representational_Transport_Operator,68,68,0,34408443,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
11,EXP-008,CAN-V11-CLEAN,V11 - Relational Graph / Structural Metric Clean Repair,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\011_EXP-008__V11_Relational_Graph_Structural_Metric_Clean_Repair,17,17,0,17297002,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
12,EXP-009,CAN-V12-TOPOLOGY,V12 - Relational Topology Causal Map,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\012_EXP-009__V12_Relational_Topology_Causal_Map,77,76,1,54622706,STRUCTURE_AND_REFERENCES_ONLY,MEDIUM,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
21,EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\021_EXP-010__F1_Blind_Longitudinal_Rediscovery_Final,42,42,0,2791870666,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
25,EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity,57,57,0,2472402017,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
26,EXP-012,CAN-F2-B,F2-B - Corrected External Rarity,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\026_EXP-012__F2_B_Corrected_External_Rarity,939,908,31,2455285226,STRUCTURE_AND_REFERENCES_ONLY,HIGH,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
30,EXP-013,CAN-WF1-P0,WF1-P0 - Historical Corpus Bridge,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\030_EXP-013__WF1_P0_Historical_Corpus_Bridge,27,25,2,354584360,STRUCTURE_AND_REFERENCES_ONLY,LOW,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
31,EXP-014,CAN-WF1-A,WF1-A - Corrective Causal / Topology,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology,461,254,207,1980791575,STRUCTURE_AND_REFERENCES_ONLY,HIGH,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
32,EXP-015,CAN-WF1-B,WF1-B - External Population Confirmation,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation,214,112,102,1884167182,STRUCTURE_AND_REFERENCES_ONLY,MEDIUM,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
33,EXP-016,CAN-WF2,WF2 - Prospective Cross-System Confirmation,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation,31879,31879,0,953620565,STRUCTURE_AND_REFERENCES_ONLY,VERY_HIGH,SELECT_AUTHORITATIVE_SOURCE_SET_BEFORE_COPY
